"timestamp","message"
"2023-05-23 11:53:46 GMT+0300","22221"
"2023-05-23 11:53:45 GMT+0300","12222"
"2023-05-23 11:53:43 GMT+0300","21222"
"2023-05-23 11:53:41 GMT+0300","12122"
"2023-05-23 11:53:38 GMT+0300","21212"
"2023-05-23 11:53:37 GMT+0300","22121"
"2023-05-23 11:53:35 GMT+0300","22212"
"2023-05-23 11:53:33 GMT+0300","22221"
"2023-05-23 11:53:30 GMT+0300","22222"
"2023-05-23 11:53:28 GMT+0300","12222"
"2023-05-23 11:53:27 GMT+0300","21222"
"2023-05-23 11:53:25 GMT+0300","12122"
"2023-05-23 11:53:22 GMT+0300","11212"
"2023-05-23 11:53:21 GMT+0300","21121"
"2023-05-23 11:53:19 GMT+0300","22112"
"2023-05-23 11:53:17 GMT+0300","12211"
"2023-05-23 11:53:14 GMT+0300","21221"
"2023-05-23 11:53:12 GMT+0300","12122"
"2023-05-23 11:53:11 GMT+0300","21212"
"2023-05-23 11:53:09 GMT+0300","12121"
"2023-05-23 11:53:06 GMT+0300","11212"
"2023-05-23 11:53:05 GMT+0300","11121"
"2023-05-23 11:53:03 GMT+0300","21112"
"2023-05-23 11:53:01 GMT+0300","12111"
"2023-05-23 11:52:58 GMT+0300","11211"
"2023-05-23 11:52:56 GMT+0300","11121"
"2023-05-23 11:52:55 GMT+0300","11112"
"2023-05-23 11:52:53 GMT+0300","11111"
"2023-05-23 11:52:50 GMT+0300","11111"
"2023-05-23 11:52:48 GMT+0300","11111"
"2023-05-23 11:52:47 GMT+0300","11111"
"2023-05-23 11:52:45 GMT+0300","11111"
"2023-05-23 11:52:42 GMT+0300","11111"
"2023-05-23 11:52:40 GMT+0300","21111"
"2023-05-23 11:52:39 GMT+0300","22111"
"2023-05-23 11:52:36 GMT+0300","12211"
"2023-05-23 11:52:34 GMT+0300","21221"
"2023-05-23 11:52:33 GMT+0300","22122"
"2023-05-23 11:52:31 GMT+0300","12212"
"2023-05-23 11:52:28 GMT+0300","11221"
"2023-05-23 11:52:26 GMT+0300","21122"
"2023-05-23 11:52:25 GMT+0300","22112"
"2023-05-23 11:52:23 GMT+0300","22211"
"2023-05-23 11:52:20 GMT+0300","22221"
"2023-05-23 11:52:18 GMT+0300","12222"
"2023-05-23 11:52:16 GMT+0300","21222"
"2023-05-23 11:52:15 GMT+0300","22122"
"2023-05-23 11:52:12 GMT+0300","12212"
"2023-05-23 11:52:10 GMT+0300","11221"
"2023-05-23 11:52:09 GMT+0300","21122"
"2023-05-23 11:52:07 GMT+0300","22112"
"2023-05-23 11:52:04 GMT+0300","22211"
"2023-05-23 11:52:02 GMT+0300","12221"
